Senate Vote #2 1789-07-18T00:00:00 - TO AMEND THE ACT (1 STAT 28, APP. 7-27-1789), FOR ESTABLISH- ING AN EXECUTIVE DEPARTMENT, TO BE DENOMINATED THE DEPART- MENT OF FOREIGN AFFAIRS; SO AS TO STRIKE THE WORDS "BY THE PRESIDENT", IN THE SECTION DEALING WITH THE APPOINTMENT OF A CHIEF CLERK.
401222,DE,,Nay,Richard Bassett,Anti-Administration
402128,SC,,Not Voting,Pierce Butler,Democratic Republican
402332,MD,,Nay,Charles “of Carrollton” Carroll,Pro-Administration
403156,MA,,Nay,Tristram Dalton,Pro-Administration
403838,CT,,Not Voting,Oliver Ellsworth,Pro-Administration
403846,NJ,,Nay,Jonathan Elmer,Pro-Administration
404057,GA,,Yea,William Few,Anti-Administration
404753,VA,,Yea,William Grayson,Anti-Administration
404870,GA,,Yea,James Gunn,Federalist
405370,MD,,Nay,John Henry,Pro-Administration
406077,CT,,Yea,William Johnson,Pro-Administration
406576,NH,,Yea,John Langdon,Democratic Republican
406704,VA,,Yea,Richard Lee,Anti-Administration
407058,PA,,Yea,William Maclay,Anti-Administration
407953,PA,,Nay,Robert Morris,Pro-Administration
408510,NJ,,Nay,William Paterson,Pro-Administration
409071,DE,,Nay,George Read,Pro-Administration
410466,MA,,Nay,Caleb Strong,Pro-Administration
411787,NH,,Yea,Paine Wingate,Anti-Administration
412129,SC,,Yea,Ralph Izard,Pro-Administration
